Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
The Thief,"Frogner, Oslo",Chambre Double Supérieure,1 très grand lit double,"8,7",278 expériences vécues,"1 nuit, 1 adulte",,€ 404
Keybutler Royal Park Studios,"Frogner, Oslo",Studio,1 lit simple,"6,7",64 expériences vécues,"1 nuit, 1 adulte",,€ 152€ 106-30 %
Thon Hotel Spectrum,"Oslo City Centre, Oslo",Chambre Double Standard,1 lit double,"8,4",1 317 expériences vécues,"1 nuit, 1 adulte",,€ 221
Dali Oslo center apartment,"Grünerløkka, Oslo",Appartement 1 Chambre,Hébergement géré par un particulier,"3,3",3 expériences vécues,"1 nuit, 1 adulte",,€ 79
Modern 3bed room sea view apartment @ Oslo Barcode,Oslo,Appartement 3 Chambres,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 493
Hotel Continental,"Oslo City Centre, Oslo",Chambre Simple,1 grand lit double,"8,8",684 expériences vécues,"1 nuit, 1 adulte",,€ 329
Oslo city center Aprtment,"Grünerløkka, Oslo",Appartement 1 Chambre,Hébergement géré par un particulier,"5,4",51 expériences vécues,"1 nuit, 1 adulte",,€ 108
Oslo City Center Rooms - Tjuvholmen,"Frogner, Oslo",Chambre Double Économique,Types de lits : 1 lit double ou 2 lits simples,"7,9",49 expériences vécues,"1 nuit, 1 adulte",,€ 114
Nydelig leilighet med privat terrasse mot bakgård,"Grünerløkka, Oslo",Appartement 1 Chambre,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 205€ 164-20 %
La Villa Bjerke,Oslo,Appartement 1 Chambre,"2 lits (1 canapé-lit, 1 grand lit double)",,"1 nuit, 1 adulte",Taxes et frais compris,,€ 437€ 350-20 %
Cecelia,Oslo,Appartement 1 Chambre,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 294
"Exclusive apartment Barcode, terrace, Oslofjord view","Gamle Oslo, Oslo",Appartement 1 Chambre,1 lit double,10,1 expérience vécue,"1 nuit, 1 adulte",,€ 503
*** CENTRAl *** COZY *** KiNG BED ***,"Gamle Oslo, Oslo",Appartement 1 Chambre,Hébergement géré par un particulier,"5,5",2 expériences vécues,"1 nuit, 1 adulte",,€ 328
"Tjuvholmen I, As Home","Frogner, Oslo",Appartement 1 Chambre,"2 lits (1 canapé-lit, 1 grand lit double)","9,3",48 expériences vécues,"1 nuit, 1 adulte",,€ 294
"Luxurious BJØRVIKA APARTMENTS, Oslo City Center","Oslo City Centre, Oslo",Appartement 1 Chambre,"2 lits (1 lit double, 1 canapé-lit)",,5 commentaires externes,"1 nuit, 1 adulte",,€ 190
Magnificent Modern Apartment Central Oslo,"Oslo City Centre, Oslo",Appartement 1 Chambre,Hébergement géré par un particulier,"9,5",4 expériences vécues,"1 nuit, 1 adulte",,€ 211
Oslo apartment center,"Grünerløkka, Oslo",Appartement 1 Chambre,Hébergement géré par un particulier,"4,0",3 expériences vécues,"1 nuit, 1 adulte",,€ 130
Apartment with amazing view,"Frogner, Oslo",Appartement 1 Chambre,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 291
An elegant and exclusive apartment in Bjørvika Oslo,"Gamle Oslo, Oslo",Appartement 2 Chambres,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 403€ 313-22 %
