Titre,Avis,Type,Price,Ville
 Gebr. Hartering,320 avis,"Hollandaise, Européenne",€€€€,Amsterdam
 Eetcafe Het Pakhuis,368 avis,"Grillades, Diner",€€-€€€,Amsterdam
 Billy Thai's Restaurant,233 avis,"Asiatique, Thaï",€€-€€€,Amsterdam
 Restaurant Pompstation,468 avis,"Française, Internationale",€€-€€€,Amsterdam
 Alfonso's Mexican & Grill Restaurant,367 avis,Mexicaine,€€-€€€,Amsterdam
 Restaurant Blauw Amsterdam,1 371 avis,"Asiatique, Cuisine de rue (street food)",€€-€€€,Amsterdam
 Koh-i-Noor,508 avis,"Indienne, Asiatique",€€-€€€,Amsterdam
 Casa di David,1 493 avis,"Italienne, Pizza",€€-€€€,Amsterdam
 Aneka Rasa,740 avis,Indonésienne,€€-€€€,Amsterdam
 Bluespoon,434 avis,"Internationale, Moderne",€€€€,Amsterdam
 De Nieuwe Pilserij,237 avis,"Bar à bières, Hollandaise",€€-€€€,Amsterdam
 Hotel Cafe Restaurant Koekenbier Abcoude,157 avis,"Steakhouse, Hollandaise",€€-€€€,Amsterdam
 Dignita Hoftuin,252 avis,"Café, Internationale",€€-€€€,Amsterdam
 Bagels & Beans Ijdock,410 avis,"Café, Européenne",€,Amsterdam
 Santi & Santini,39 avis,"Italienne, Européenne",€€-€€€,Amsterdam
 Infinity Steakhouse - Quality Steaks (Halal),112 avis,-,Menu,Amsterdam
 Coffee & Coconuts,1 057 avis,"Bar, Café",€€-€€€,Amsterdam
 Eetcafe Rosereijn Amsterdam,212 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 Bagels & Beans,203 avis,"Café, Saine",€,Amsterdam
 Malaysian restaurant Wau,408 avis,"Singapourienne, Malaisienne",€€-€€€,Amsterdam
 Himalaya Palace Indian & Nepalese Restaurant,150 avis,"Indienne, Asiatique",€€-€€€,Amsterdam
 La Perla,991 avis,"Italienne, Pizza",€€-€€€,Amsterdam
 Marie - Brasserie - Sur l'eau,418 avis,"Internationale, Européenne",€€€€,Amsterdam
 Cafe De Prins,581 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 Kaagman en Kortekaas,275 avis,"Hollandaise, Fruits de mer et poisson",€€€€,Amsterdam
 Shiva Indian Restaurant,508 avis,"Indienne, Asiatique",€€-€€€,Amsterdam
 Pendergast,138 avis,"Américaine, Barbecue/Grillades",€€-€€€,Amsterdam
 Moon,735 avis,"Hollandaise, Internationale",€€€€,Amsterdam
 Boca's,362 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 de Bijenkorf Kitchen Amsterdam,475 avis,"Italienne, Internationale",€€-€€€,Amsterdam
 Tashi Deleg,236 avis,"Indonésienne, Tibétaine",€€-€€€,Amsterdam
 Mchi Food & Drinks,191 avis,"Fruits de mer et poisson, Sushi",€€-€€€,Amsterdam
 Sham Restaurant,60 avis,"Méditerranéenne, Moyen-Orient",€€-€€€,Amsterdam
 Louis,184 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 Auberge Jean & Marie,197 avis,"Française, Européenne",€€-€€€,Amsterdam
 Gourmet Bar Restaurant,157 avis,Internationale,€€-€€€,Amsterdam
 Lion Noir,541 avis,Européenne,€€-€€€,Amsterdam
 Le Pain Quotidien,542 avis,"Café, Européenne",€€-€€€,Amsterdam
 Bierfabriek Amsterdam,1 222 avis,"Bar à bières, Hollandaise",€€-€€€,Amsterdam
 Loetje Amsterdam Café,1 817 avis,"Steakhouse, Hollandaise",€€-€€€,Amsterdam
 Café Brecht,156 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 BAK restaurant,306 avis,"Hollandaise, Internationale",€€€€,Amsterdam
" Bellezza, The Restaurant",64 avis,"Internationale, Européenne",€€€€,Amsterdam
 LA BOCA,542 avis,"Steakhouse, Latino",€€-€€€,Amsterdam
 Hard Rock Cafe,9 059 avis,"Américaine, Barbecue/Grillades",€€-€€€,Amsterdam
 Van Dobben,728 avis,"Hollandaise, Restauration rapide",€,Amsterdam
 Cafe Brakke,83 avis,"Bar, Café",€€-€€€,Amsterdam
 Casa Di Sergio,581 avis,"Italienne, Pizza",€€-€€€,Amsterdam
 Cafe Restaurant Aaltje,163 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 Bistro Baret,111 avis,"Hollandaise, Fruits de mer et poisson",€€-€€€,Amsterdam
 Toko Pandora,184 avis,"Asiatique, Indonésienne",€,Amsterdam
 Spaghetteria Amsterdam Jan Hanzenstraat,270 avis,"Italienne, Fruits de mer et poisson",€€-€€€,Amsterdam
 Le Pain Quotidien,302 avis,"Café, Européenne",€€-€€€,Amsterdam
 Bella Roma Amsterdam,143 avis,"Italienne, Européenne",€€-€€€,Amsterdam
 Ali Ocakbaşı,616 avis,"Méditerranéenne, Barbecue/Grillades",€€-€€€,Amsterdam
 CHANG-I,269 avis,"Chinoise, Asiatique",€€€€,Amsterdam
 Restaurant Mappa,356 avis,"Italienne, Méditerranéenne",€€-€€€,Amsterdam
 Ramen-Ya Amsterdam,938 avis,"Japonaise, Asiatique",€€-€€€,Amsterdam
 Tibetaanse restaurant Tibet,548 avis,"Chinoise, Asiatique",€€-€€€,Amsterdam
 Risto Enoteca PepeNero,149 avis,"Italienne, Fruits de mer et poisson",€€-€€€,Amsterdam
 Cafe St. George,337 avis,"Steakhouse, Barbecue/Grillades",€€-€€€,Amsterdam
 Guru Restaurant,112 avis,"Indienne, Asiatique",€€-€€€,Amsterdam
 Bar Baut,249 avis,"Hollandaise, Internationale",€€-€€€,Amsterdam
 Cafe Nassau,162 avis,-,Menu,Amsterdam
 Grizzly,756 avis,"Américaine, Bar",€€-€€€,Amsterdam
 small world,153 avis,Café,€€-€€€,Amsterdam
 Restaurant Black and Blue,1 828 avis,"Steakhouse, Internationale",€€-€€€,Amsterdam
 Steakhouse Tango Grill,352 avis,"Steakhouse, Barbecue/Grillades",€€-€€€,Amsterdam
 Teds Amsterdam - All Day Brunch,426 avis,"Café, Européenne",€€-€€€,Amsterdam
 Divan,174 avis,"Méditerranéenne, Turque",€€-€€€,Amsterdam
 Ganesha Indian Restaurant,577 avis,"Indienne, Asiatique",€€-€€€,Amsterdam
 Pompa,1 154 avis,"Italienne, Méditerranéenne",€€-€€€,Amsterdam
 FACTORY GIRL Restaurant,179 avis,"Méditerranéenne, Européenne",€€-€€€,Amsterdam
 Sichuan Food,277 avis,"Chinoise, Asiatique",€€-€€€,Amsterdam
 Trattoria Fantasia,410 avis,"Italienne, Pizza",€€-€€€,Amsterdam
 Kitchen & Bar Van Rijn,571 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 Mangia Pizza & Wine da Antonio,102 avis,"Italienne, Pizza",€€-€€€,Amsterdam
 Björn's Burgers,50 avis,"Américaine, Barbecue/Grillades",€€-€€€,Amsterdam
 Pasta Pasta,1 356 avis,"Italienne, Méditerranéenne",€,Amsterdam
 Van't Spit,185 avis,"Barbecue/Grillades, Européenne",€€-€€€,Amsterdam
 Restaurant RED,1 421 avis,"Steakhouse, Fruits de mer et poisson",€€-€€€,Amsterdam
 Pllek,1 186 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 Betty's,171 avis,Européenne,€€-€€€,Amsterdam
 Conservatorium Brasserie & Lounge Amsterdam,682 avis,"Européenne, Moderne",€€€€,Amsterdam
 La Place Cafe,352 avis,"Européenne, Moderne",€€-€€€,Amsterdam
 Bagels & Beans De Clercqstraat,174 avis,"Internationale, Saine",€€-€€€,Amsterdam
 Trattoria Toto,377 avis,"Italienne, Méditerranéenne",€€-€€€,Amsterdam
 Addis Ababa,144 avis,"Africaine, Éthiopienne",€€-€€€,Amsterdam
 Cafe Moer,268 avis,"Hollandaise, Internationale",€€€€,Amsterdam
 Restaurant Miu,565 avis,"Chinoise, Asiatique",€€-€€€,Amsterdam
 Sampurna,1 286 avis,"Asiatique, Indonésienne",€€-€€€,Amsterdam
 Pancake Company,103 avis,Café,€€-€€€,Amsterdam
 Fiko,262 avis,"Italienne, Pizza",€€-€€€,Amsterdam
 Chez Georges,226 avis,"Française, Belge",€€-€€€,Amsterdam
 Seafood restaurant Brasserie Bark,378 avis,"Française, Hollandaise",€€-€€€,Amsterdam
 Cafe Koosje,403 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 Berkhout,242 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 Ter Marsch & Co - Amsterdam,438 avis,"Bar, Grillades",€€-€€€,Amsterdam
 Rib's factory,250 avis,"Américaine, Steakhouse",€€-€€€,Amsterdam
 The Indian Kitchen,171 avis,"Indienne, Asiatique",€€-€€€,Amsterdam
 Ron Gastrobar,1 140 avis,Européenne,€€€€,Amsterdam
 Ichi-E,554 avis,"Japonaise, Fruits de mer et poisson",€€-€€€,Amsterdam
 Restaurant het Stuivertje,199 avis,-,Menu,Amsterdam
 Braai Westerpark,180 avis,"Bar, Barbecue/Grillades",€,Amsterdam
 Theetuin Overleek,134 avis,"Hollandaise, Européenne",€€-€€€,Amsterdam
 Cheesy Cakes,67 avis,Café,€€-€€€,Amsterdam
 Spanjer en van Twist,359 avis,"Hollandaise, Internationale",€€-€€€,Amsterdam
 Cafe-Restaurant IL Panorama,584 avis,"Italienne, Pizza",€€-€€€,Amsterdam
 De Compagnon,320 avis,"Française, Hollandaise",€€€€,Amsterdam
 Japanse Restaurant Genki,372 avis,"Japonaise, Sushi",€€-€€€,Amsterdam
 Cafe De Klepel,219 avis,"Française, Européenne",€€-€€€,Amsterdam
 De Japanner,141 avis,"Japonaise, Sushi",€€-€€€,Amsterdam
 Bird Thai Restaurant,2 189 avis,"Asiatique, Thaï",€€-€€€,Amsterdam
" Lunchroom Grannies, Amsterdam.",127 avis,"Hollandaise, Européenne",€€-€€€,Amsterdam
 il palio,445 avis,"Italienne, Pizza",€,Amsterdam
 IZAKAYA Asian Kitchen & Bar,801 avis,"Japonaise, Sushi",€€€€,Amsterdam
 BUFFET Van Odette,639 avis,"Hollandaise, Européenne",€€-€€€,Amsterdam
 MOMO,1 748 avis,"Japonaise, Sushi",€€€€,Amsterdam
 Loetje Ouderkerk aan de Amstel,865 avis,"Steakhouse, Hollandaise",€€-€€€,Amsterdam
 Restaurant De Witte Zwaan,70 avis,"Hollandaise, Fruits de mer et poisson",€€-€€€,Amsterdam
 Restaurant Freud,120 avis,"Hollandaise, Européenne",€€-€€€,Amsterdam
 Donna Sofia,280 avis,"Italienne, Méditerranéenne",€€-€€€,Amsterdam
 Grieks Restaurant Plato,110 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€,Amsterdam
 Mas Y Mas,835 avis,"Italienne, Steakhouse",€€-€€€,Amsterdam
 Pho Hanoi,81 avis,"Asiatique, Vietnamienne",€,Amsterdam
 Fenicie,143 avis,"Libanaise, Grillades",€€-€€€,Amsterdam
 IJver,178 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 Restaurant Colijn,257 avis,"Hollandaise, Fruits de mer et poisson",€€-€€€,Amsterdam
 Restaurant Café Van Puffelen,496 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 De Brabantse Aap,511 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 Pasta Bar,593 avis,"Hollandaise, Européenne",€,Amsterdam
 Café Restaurant Hans en Grietje,541 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 New York Steakhouse,319 avis,"Steakhouse, Bar",€€-€€€,Amsterdam
 Brute Burgers,209 avis,"Internationale, Grillades",€€-€€€,Amsterdam
 L' Hirondelle,446 avis,"Hollandaise, Européenne",€€-€€€,Amsterdam
 Pizza Taxi Da Paolo & Seba,142 avis,"Italienne, Pizza",€€-€€€,Amsterdam
 Mastino,126 avis,"Italienne, Pizza",€,Amsterdam
 Los Pilones Cantina Mexico (Leidsebuurt),532 avis,"Mexicaine, Latino",€€-€€€,Amsterdam
 Kevin Bacon Bar,131 avis,"Bar, Asiatique",€€-€€€,Amsterdam
 Gió Cucina Italiana,71 avis,"Italienne, Méditerranéenne",€€-€€€,Amsterdam
 Restaurant Bij Qunis,159 avis,"Hollandaise, Fruits de mer et poisson",€€-€€€,Amsterdam
 St James's Gate Irish Pub,889 avis,"Irlandaise, Bar",€€-€€€,Amsterdam
 Restaurant Long Pura,888 avis,"Asiatique, Indonésienne",€€-€€€,Amsterdam
 't Groene Pandje,328 avis,"Hollandaise, Européenne",€€-€€€,Amsterdam
 Eetcafe Knabbel en Babbel,105 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 Puccini Espressobar,101 avis,"Italienne, Café",€€-€€€,Amsterdam
 Fou Fow Ramen,355 avis,"Japonaise, Asiatique",€€-€€€,Amsterdam
 Cedars Libanees Restaurant,431 avis,"Libanaise, Internationale",€€-€€€,Amsterdam
 Restaurant Posthoorn,186 avis,"Française, Hollandaise",€€€€,Amsterdam
 The Duchess,1 000 avis,"Française, Méditerranéenne",€€€€,Amsterdam
 Cora,92 avis,,,Amsterdam
 Brasserie de Joffers,314 avis,"Hollandaise, Café",€€-€€€,Amsterdam
 Labyrinth,79 avis,Caraïbes,€€-€€€,Amsterdam
 l'Entrecote et les Dames,377 avis,"Française, Européenne",€€-€€€,Amsterdam
 Wijnbar Paulus,104 avis,"Européenne, Bar à vins",€€-€€€,Amsterdam
 Burgerfabriek,796 avis,"Américaine, Bar",€€-€€€,Amsterdam
 Lakhay - Nepalese & Tibetan Restaurant,54 avis,"Asiatique, Tibétaine",€€-€€€,Amsterdam
 Cafe Kadijk,171 avis,"Asiatique, Indonésienne",€€-€€€,Amsterdam
 Restaurant Szmulewicz,304 avis,"Hollandaise, Internationale",€€-€€€,Amsterdam
 Il Primo Ristorante,874 avis,"Italienne, Pizza",€€-€€€,Amsterdam
 Wester Cafe,340 avis,"Hollandaise, Bar",€,Amsterdam
 Pane E Olio,141 avis,"Italienne, Café",€,Amsterdam
 Bouf,355 avis,"Internationale, Européenne",€€-€€€,Amsterdam
 Cafe Cook,124 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 Semhar,203 avis,"Africaine, Éthiopienne",€€-€€€,Amsterdam
 Tasca Bellota,37 avis,"Latino, Méditerranéenne",€€-€€€,Amsterdam
 Umaimon,163 avis,"Japonaise, Asiatique",€€-€€€,Amsterdam
 Hannekes Boom,472 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 monkey Temple,80 avis,"Indienne, Saine",€€-€€€,Amsterdam
 Trattoria That's Amore,260 avis,"Italienne, Pizza",€€-€€€,Amsterdam
 Cafe-Restaurant de Plantage,1 168 avis,"Hollandaise, Méditerranéenne",€€-€€€,Amsterdam
 Cafe De Sluyswacht,263 avis,"Hollandaise, Bar",€,Amsterdam
 Indian Restaurant Kamasutra,392 avis,"Indienne, Asiatique",€€-€€€,Amsterdam
 Beulings,177 avis,"Française, Hollandaise",€€€€,Amsterdam
 Cafe De Gaeper,138 avis,"Hollandaise, Bar",€,Amsterdam
 Brouwerij Hoop,278 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 Toscanini,584 avis,"Italienne, Méditerranéenne",€€-€€€,Amsterdam
 Haven van Texel,355 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 The Uptown Meat Club,540 avis,"Steakhouse, Grillades",€€-€€€,Amsterdam
 Ron Gastrobar Oriental,468 avis,"Internationale, Asiatique",€€€€,Amsterdam
 Kaap & Tein,73 avis,"Hollandaise, Européenne",€€-€€€,Amsterdam
 MR PORTER,847 avis,"Steakhouse, Européenne",€€€€,Amsterdam
 Restaurant De Kolk,73 avis,"Hollandaise, Fruits de mer et poisson",€€-€€€,Amsterdam
 SKYY Bar Amsterdam,261 avis,"Bar, Internationale",€€-€€€,Amsterdam
 QBeach,59 avis,"Hollandaise, Internationale",€€-€€€,Amsterdam
 Thrill Grill,393 avis,"Américaine, Bar",€€-€€€,Amsterdam
 Gloria Restaurant,42 avis,"Italienne, Latino",€€-€€€,Amsterdam
 Onigiri YA!,81 avis,"Japonaise, Restauration rapide",€,Amsterdam
 Burger Zaken,805 avis,"Américaine, Restauration rapide",€,Amsterdam
 Tapas Amsterdam Tia Rosa,328 avis,"Méditerranéenne, Espagnole",€€-€€€,Amsterdam
 Restaurant Gusto,427 avis,"Italienne, Méditerranéenne",€€-€€€,Amsterdam
 Tony's NY City Bagels,194 avis,"Américaine, Café",€,Amsterdam
 Na Siam,166 avis,"Asiatique, Thaï",€€-€€€,Amsterdam
 Satchmo,153 avis,"Fruits de mer et poisson, Internationale",€€-€€€,Amsterdam
 Take Thai,238 avis,"Asiatique, Thaï",€€-€€€,Amsterdam
 't Tuinfeest,145 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 De Pizzabakkers Plantage,256 avis,"Italienne, Pizza",€€-€€€,Amsterdam
 Le petit deli,61 avis,"Française, Café",€€-€€€,Amsterdam
 Herring & More,98 avis,"Hollandaise, Fruits de mer et poisson",€,Amsterdam
 De Italiaan,371 avis,"Italienne, Pizza",€€-€€€,Amsterdam
 Van Vlaanderen,208 avis,"Hollandaise, Européenne",€€€€,Amsterdam
 De Bakkerswinkel Amsterdam South,187 avis,"Café, Européenne",€€-€€€,Amsterdam
 Caffe Italia,447 avis,"Italienne, Pizza",€€-€€€,Amsterdam
 Pollux Pacific,145 avis,"Bar, Internationale",€€-€€€,Amsterdam
 Waterkant,245 avis,"Bar, Fusion",€€-€€€,Amsterdam
 Bakkerswinkel Westerpark Amsterdam,340 avis,"Hollandaise, Café",€€-€€€,Amsterdam
 Salvatorica,61 avis,"Italienne, Méditerranéenne",€€-€€€,Amsterdam
 Rancho Spui,640 avis,"Steakhouse, Barbecue/Grillades",€€-€€€,Amsterdam
 Celia Amsterdam,62 avis,"Mexicaine, Américaine",€€-€€€,Amsterdam
 Cafe De Blaffende Vis,196 avis,"Hollandaise, Bar",€,Amsterdam
 Men Impossible,53 avis,"Japonaise, Asiatique",€€-€€€,Amsterdam
 PANCAKES Amsterdam Centraal,906 avis,"Américaine, Hollandaise",€€-€€€,Amsterdam
 Paloma Blanca,149 avis,"Marocaine, Méditerranéenne",€€-€€€,Amsterdam
 Indian Thali,39 avis,Indienne,,Amsterdam
 Sama Sebo Indonesisch Restaurant,1 196 avis,"Asiatique, Indonésienne",€€-€€€,Amsterdam
 Mamas & Tapas,67 avis,"Bar, Internationale",€€-€€€,Amsterdam
 Coco's Outback,616 avis,"Bar, Pub",€€-€€€,Amsterdam
 Le Hollandais,114 avis,"Française, Européenne",€€-€€€,Amsterdam
 De Ysbreeker,507 avis,"Française, Hollandaise",€€-€€€,Amsterdam
 De Vergulde Gaper,225 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 Ciro Passami L'Olio,250 avis,"Italienne, Fruits de mer et poisson",€€-€€€,Amsterdam
 De Veranda,320 avis,"Hollandaise, Fruits de mer et poisson",€€-€€€,Amsterdam
 VINNIES at Scheldestraat,74 avis,"Café, Internationale",€€-€€€,Amsterdam
 Benji's Oost,119 avis,"Internationale, Européenne",€€-€€€,Amsterdam
 VOLT,219 avis,"Hollandaise, Européenne",€€-€€€,Amsterdam
 Castillo Tapas y Steaks,351 avis,"Steakhouse, Bar",€€-€€€,Amsterdam
 Brug34,115 avis,"Hollandaise, Bar",€,Amsterdam
 Foodware,92 avis,"Internationale, Européenne",€€-€€€,Amsterdam
 Cafe Luxembourg,628 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 Primi bar & cucina,75 avis,"Italienne, Méditerranéenne",€€-€€€,Amsterdam
 NOMADS Amsterdam,112 avis,-,Menu,Amsterdam
 Rollingsushi,40 avis,"Japonaise, Internationale",€€-€€€,Amsterdam
 Brasserie Baton,230 avis,"Hollandaise, Café",€,Amsterdam
 Barpiazza,304 avis,Européenne,€€-€€€,Amsterdam
 Indrapura,1 395 avis,-,Menu,Amsterdam
 Restaurant Duende Dos,133 avis,"Méditerranéenne, Européenne",€€-€€€,Amsterdam
 Indian Restaurant Swagat,92 avis,"Indienne, Fruits de mer et poisson",€€-€€€,Amsterdam
 Water en Brood,134 avis,-,Menu,Amsterdam
 Bar Mokum,60 avis,"Bar, Européenne",€€-€€€,Amsterdam
 NENI Amsterdam,264 avis,"Méditerranéenne, Moyen-Orient",€€-€€€,Amsterdam
 Quartier Putain,114 avis,"Bar, Café",€€-€€€,Amsterdam
 't Vliegertje,144 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 Brut de Mer,240 avis,"Française, Fruits de mer et poisson",€€-€€€,Amsterdam
 Bij Paul,73 avis,"Hollandaise, Café",€€-€€€,Amsterdam
 Brasserie De Roode Leeuw,628 avis,Internationale,€€-€€€,Amsterdam
 Coffeeshop Greenhouse Effect,97 avis,Café,€€-€€€,Amsterdam
 Carbon Jordaan,55 avis,"Barbecue/Grillades, Européenne",€€-€€€,Amsterdam
 Het Stadspaleis,66 avis,"Hollandaise, Café",€,Amsterdam
 Café ONS,84 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 Bagels & Beans,237 avis,Café,€,Amsterdam
 De Kersentuin,207 avis,"Hollandaise, Internationale",€€€€,Amsterdam
 Café Hoppe,311 avis,"Hollandaise, Bar",€€-€€€,Amsterdam
 Gauchos - Beethovenstraat,308 avis,"Steakhouse, Barbecue/Grillades",€€-€€€,Amsterdam
 The Black Dog,60 avis,"Bar, Internationale",€€-€€€,Amsterdam
 Duende,242 avis,Espagnole,€€-€€€,Amsterdam
 Kilimanjaro,138 avis,"Africaine, Éthiopienne",€€-€€€,Amsterdam
 Restaurant Bonjour,271 avis,"Française, Européenne",€€-€€€,Amsterdam
